Player,Nation,Pos,Squad,Age,Born,Player_id,Squad_id,Flag,League,League_id
Gabrielle George,eng ENG,DF/MF,Everton,25-309,1997,a706e82f,c4989550,https://upload.wikimedia.org/wikipedia/en/thumb/b/be/Flag_of_England.svg/35px-Flag_of_England.svg.png,https://ichef.bbci.co.uk/images/ic/1200x675/p0d3fdpm.jpg,3
Gaëlle Thalmann,ch SUI,GK,Real Betis,36-324,1986,e1b3ae76,74142337,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Flag_of_Switzerland_%28Pantone%29.svg/24px-Flag_of_Switzerland_%28Pantone%29.svg.png,https://pbs.twimg.com/profile_images/1675752515416014850/mdDk7mF7_400x400.jpg,2
Gaëtane Thiney,fr FRA,MF/FW,Paris FC,37-041,1985,8a91b0e9,28d9b675,https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/35px-Flag_of_France.svg.png,https://fff.twic.pics/https://media.fff.fr/uploads/images/c869d30e91c63f7bdc0d707ed18306fc.png?twic=v1/focus=auto/resize=300,5
Gaia Apicella,it ITA,DF,ASD Calcio Pomigliano,29-041,1993,e9e33cfb,9f18ced7,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/35px-Flag_of_Italy.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7f/FIGC_Serie_A_femminile_%282020%29.svg/240px-FIGC_Serie_A_femminile_%282020%29.svg.png,1
Garazi Fácila,?,DF/MF,Alavés,23-044,1999,a94af7b3,aa11fb42,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Question_mark_%28black%29.svg/800px-Question_mark_%28black%29.svg.png,https://pbs.twimg.com/profile_images/1675752515416014850/mdDk7mF7_400x400.jpg,2
Gema Soliveres,?,MF,Alavés,22-035,2000,fbfaadb9,aa11fb42,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Question_mark_%28black%29.svg/800px-Question_mark_%28black%29.svg.png,https://pbs.twimg.com/profile_images/1675752515416014850/mdDk7mF7_400x400.jpg,2
Gemma Evans,wls WAL,DF,Reading,26-129,1996,58e461be,5d020380,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Flag_of_Wales.svg/35px-Flag_of_Wales.svg.png,https://ichef.bbci.co.uk/images/ic/1200x675/p0d3fdpm.jpg,3
Gemma Font,es ESP,GK,Barcelona,23-031,1999,099fcb44,15f49df1,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Flag_of_Spain.svg/35px-Flag_of_Spain.svg.png,https://pbs.twimg.com/profile_images/1675752515416014850/mdDk7mF7_400x400.jpg,2
Gemma Gili,es ESP,MF,Real Sociedad,28-201,1994,20c7b4de,c21f25d3,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Flag_of_Spain.svg/35px-Flag_of_Spain.svg.png,https://pbs.twimg.com/profile_images/1675752515416014850/mdDk7mF7_400x400.jpg,2
Genessee Daughetee,us USA,DF,Köln,30-102,1992,8cf4964e,88ddc98e,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/35px-Flag_of_the_United_States.svg.png,https://upload.wikimedia.org/wikipedia/de/b/b9/Frauen_bundesliga.svg,4
Georgia Brougham,eng ENG,DF,Leicester City WFC,26-265,1996,052a7107,23bce84e,https://upload.wikimedia.org/wikipedia/en/thumb/b/be/Flag_of_England.svg/35px-Flag_of_England.svg.png,https://ichef.bbci.co.uk/images/ic/1200x675/p0d3fdpm.jpg,3
Georgia Mullett,?,MF,Aston Villa,,,b1efbb09,53157aa8,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Question_mark_%28black%29.svg/800px-Question_mark_%28black%29.svg.png,https://ichef.bbci.co.uk/images/ic/1200x675/p0d3fdpm.jpg,3
Georgia Stanway,eng ENG,MF,Bayern Munich,23-339,1999,89c43b54,51ec22be,https://upload.wikimedia.org/wikipedia/en/thumb/b/be/Flag_of_England.svg/35px-Flag_of_England.svg.png,https://upload.wikimedia.org/wikipedia/de/b/b9/Frauen_bundesliga.svg,4
Géraldine Reuteler,ch SUI,FW/MF,E. Frankfurt,23-231,1999,f64daf84,97b7c0e8,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Flag_of_Switzerland_%28Pantone%29.svg/24px-Flag_of_Switzerland_%28Pantone%29.svg.png,https://upload.wikimedia.org/wikipedia/de/b/b9/Frauen_bundesliga.svg,4
Geyse,br BRA,FW/MF,Barcelona,24-256,1998,5b5de127,15f49df1,https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Flag_of_Brazil.svg/33px-Flag_of_Brazil.svg.png,https://pbs.twimg.com/profile_images/1675752515416014850/mdDk7mF7_400x400.jpg,2
Ghoutia Karchouni,fr FRA,MF,Internazionale,27-193,1995,3296a4ef,06d05f19,https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/35px-Flag_of_France.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7f/FIGC_Serie_A_femminile_%282020%29.svg/240px-FIGC_Serie_A_femminile_%282020%29.svg.png,1
Gia Corley,de GER,MF/FW,Hoffenheim,20-202,2002,0ae418c9,87705c62,https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/Flag_of_Germany.svg/35px-Flag_of_Germany.svg.png,https://upload.wikimedia.org/wikipedia/de/b/b9/Frauen_bundesliga.svg,4
Giada Greggi,it ITA,MF,AS Roma,22-293,2000,330948ef,02f8d026,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/35px-Flag_of_Italy.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7f/FIGC_Serie_A_femminile_%282020%29.svg/240px-FIGC_Serie_A_femminile_%282020%29.svg.png,1
Giada Lopez,it ITA,FW,UC Sampdoria,17-269,2005,857dcda6,58e367c3,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/35px-Flag_of_Italy.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7f/FIGC_Serie_A_femminile_%282020%29.svg/240px-FIGC_Serie_A_femminile_%282020%29.svg.png,1
Giada Pondini,it ITA,MF/DF,Sassuolo,25-265,1997,88a65ab2,a8e83f23,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/35px-Flag_of_Italy.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7f/FIGC_Serie_A_femminile_%282020%29.svg/240px-FIGC_Serie_A_femminile_%282020%29.svg.png,1
Gilly Flaherty,eng ENG,DF,Liverpool,31-106,1991,c7cbc20d,00f74a56,https://upload.wikimedia.org/wikipedia/en/thumb/b/be/Flag_of_England.svg/35px-Flag_of_England.svg.png,https://ichef.bbci.co.uk/images/ic/1200x675/p0d3fdpm.jpg,3
Gina Ebels,de GER,FW/MF,MSV Duisburg,17-357,2004,cdf0f1d7,0580d9a9,https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/Flag_of_Germany.svg/35px-Flag_of_Germany.svg.png,https://upload.wikimedia.org/wikipedia/de/b/b9/Frauen_bundesliga.svg,4
Gio,br BRA,MF/FW,Everton,19-170,2003,b35517bf,c4989550,https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Flag_of_Brazil.svg/33px-Flag_of_Brazil.svg.png,https://ichef.bbci.co.uk/images/ic/1200x675/p0d3fdpm.jpg,3
Giorgia Arrigoni,it ITA,FW/MF,Parma Calcio 1913,18-065,2004,8f20314b,f7d05cb5,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/35px-Flag_of_Italy.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7f/FIGC_Serie_A_femminile_%282020%29.svg/240px-FIGC_Serie_A_femminile_%282020%29.svg.png,1
Giorgia Miotto,it ITA,MF,ASD Calcio Pomigliano,20-321,2002,8af0afd3,9f18ced7,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/35px-Flag_of_Italy.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7f/FIGC_Serie_A_femminile_%282020%29.svg/240px-FIGC_Serie_A_femminile_%282020%29.svg.png,1
Giorgia Spinelli,it ITA,DF,UC Sampdoria,27-361,1994,494270c4,58e367c3,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/35px-Flag_of_Italy.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7f/FIGC_Serie_A_femminile_%282020%29.svg/240px-FIGC_Serie_A_femminile_%282020%29.svg.png,1
Giorgia Tudisco,it ITA,MF/DF,Sassuolo,27-331,1995,9ca0069c,a8e83f23,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/35px-Flag_of_Italy.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7f/FIGC_Serie_A_femminile_%282020%29.svg/240px-FIGC_Serie_A_femminile_%282020%29.svg.png,1
Giovana Maia,pt POR,DF,Parma Calcio 1913,25-308,1997,08a89fca,f7d05cb5,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_Portugal.svg/35px-Flag_of_Portugal.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7f/FIGC_Serie_A_femminile_%282020%29.svg/240px-FIGC_Serie_A_femminile_%282020%29.svg.png,1
Giovaninha,br BRA,FW,UDG Tenerife,20-044,2002,3d2f23da,4c088abe,https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Flag_of_Brazil.svg/33px-Flag_of_Brazil.svg.png,https://pbs.twimg.com/profile_images/1675752515416014850/mdDk7mF7_400x400.jpg,2
Giovanna Hoffmann,de GER,FW,Freiburg,24-079,1998,e81f194d,b4de690d,https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/Flag_of_Germany.svg/35px-Flag_of_Germany.svg.png,https://upload.wikimedia.org/wikipedia/de/b/b9/Frauen_bundesliga.svg,4
Gisela Robledo,co COL,MF/FW,UDG Tenerife,19-209,2003,b48a6ed4,4c088abe,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Flag_of_Colombia.svg/35px-Flag_of_Colombia.svg.png,https://pbs.twimg.com/profile_images/1675752515416014850/mdDk7mF7_400x400.jpg,2
Giulia Dragoni,it ITA,MF,Internazionale,16-031,2006,4c0f609f,06d05f19,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/35px-Flag_of_Italy.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7f/FIGC_Serie_A_femminile_%282020%29.svg/240px-FIGC_Serie_A_femminile_%282020%29.svg.png,1
Giulia Giacobbo,it ITA,MF,Fiorentina,19-192,2003,919cce23,c99ff6e5,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/35px-Flag_of_Italy.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7f/FIGC_Serie_A_femminile_%282020%29.svg/240px-FIGC_Serie_A_femminile_%282020%29.svg.png,1
Giulia Gwinn,de GER,DF,Bayern Munich,23-159,1999,36cccedb,51ec22be,https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/Flag_of_Germany.svg/35px-Flag_of_Germany.svg.png,https://upload.wikimedia.org/wikipedia/de/b/b9/Frauen_bundesliga.svg,4
Giulia Rizzon,it ITA,DF,FC Como Women,29-075,1993,6a14a336,756c9acb,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/35px-Flag_of_Italy.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7f/FIGC_Serie_A_femminile_%282020%29.svg/240px-FIGC_Serie_A_femminile_%282020%29.svg.png,1
Giulia Verrino,it ITA,FW,Parma Calcio 1913,18-316,2004,66cf01c1,f7d05cb5,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/35px-Flag_of_Italy.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7f/FIGC_Serie_A_femminile_%282020%29.svg/240px-FIGC_Serie_A_femminile_%282020%29.svg.png,1
Giuseppina Moraca,it ITA,FW/MF,Sassuolo,28-171,1994,8ba43725,a8e83f23,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/35px-Flag_of_Italy.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7f/FIGC_Serie_A_femminile_%282020%29.svg/240px-FIGC_Serie_A_femminile_%282020%29.svg.png,1
Glódís Perla Viggósdóttir,is ISL,DF,Bayern Munich,27-164,1995,ab0e7355,51ec22be,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Flag_of_Iceland.svg/32px-Flag_of_Iceland.svg.png,https://upload.wikimedia.org/wikipedia/de/b/b9/Frauen_bundesliga.svg,4
Gloria Adigo,de GER,DF,MSV Duisburg,19-279,2003,fa7bc07f,0580d9a9,https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/Flag_of_Germany.svg/35px-Flag_of_Germany.svg.png,https://upload.wikimedia.org/wikipedia/de/b/b9/Frauen_bundesliga.svg,4
Gloria Marinelli,it ITA,FW/MF,Internazionale,24-271,1998,354d71f9,06d05f19,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/35px-Flag_of_Italy.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7f/FIGC_Serie_A_femminile_%282020%29.svg/240px-FIGC_Serie_A_femminile_%282020%29.svg.png,1
Grace Asantewaa,gh GHA,MF/FW,Real Betis,22-003,2000,0a12ad6e,74142337,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Flag_of_Ghana.svg/35px-Flag_of_Ghana.svg.png,https://pbs.twimg.com/profile_images/1675752515416014850/mdDk7mF7_400x400.jpg,2
Grace Chanda,zm ZAM,FW/MF,Madrid CFF,25-180,1997,3a794757,89818574,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Flag_of_Zambia.svg/35px-Flag_of_Zambia.svg.png,https://pbs.twimg.com/profile_images/1675752515416014850/mdDk7mF7_400x400.jpg,2
Grace Fisk,eng ENG,DF,West Ham,24-337,1998,3978f8a9,52d65cea,https://upload.wikimedia.org/wikipedia/en/thumb/b/be/Flag_of_England.svg/35px-Flag_of_England.svg.png,https://ichef.bbci.co.uk/images/ic/1200x675/p0d3fdpm.jpg,3
Grace Geyoro,fr FRA,MF,Paris S-G,25-159,1997,80fc50e5,80595417,https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/35px-Flag_of_France.svg.png,https://fff.twic.pics/https://media.fff.fr/uploads/images/c869d30e91c63f7bdc0d707ed18306fc.png?twic=v1/focus=auto/resize=300,5
Grace Kazadi,fr FRA,DF/MF,Guingamp,21-311,2001,47898b58,abc4f6d7,https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/35px-Flag_of_France.svg.png,https://fff.twic.pics/https://media.fff.fr/uploads/images/c869d30e91c63f7bdc0d707ed18306fc.png?twic=v1/focus=auto/resize=300,5
Grace Moloney,ie IRL,GK,Reading,29-282,1993,dd0c049a,5d020380,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Flag_of_Ireland.svg/35px-Flag_of_Ireland.svg.png,https://ichef.bbci.co.uk/images/ic/1200x675/p0d3fdpm.jpg,3
Gracie Pearse,eng ENG,DF/MF,Tottenham,20-086,2002,494e20b5,e8e4577c,https://upload.wikimedia.org/wikipedia/en/thumb/b/be/Flag_of_England.svg/35px-Flag_of_England.svg.png,https://ichef.bbci.co.uk/images/ic/1200x675/p0d3fdpm.jpg,3
Greta Adami,it ITA,MF,AC Milan,30-131,1992,231286ac,54da9a57,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/35px-Flag_of_Italy.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7f/FIGC_Serie_A_femminile_%282020%29.svg/240px-FIGC_Serie_A_femminile_%282020%29.svg.png,1
Greta Di Luzio,it ITA,FW,FC Como Women,23-198,1999,68a08e09,756c9acb,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/35px-Flag_of_Italy.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7f/FIGC_Serie_A_femminile_%282020%29.svg/240px-FIGC_Serie_A_femminile_%282020%29.svg.png,1
Greta Stegemann,de GER,DF,Freiburg,21-299,2001,45c1817c,b4de690d,https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/Flag_of_Germany.svg/35px-Flag_of_Germany.svg.png,https://upload.wikimedia.org/wikipedia/de/b/b9/Frauen_bundesliga.svg,4
Guðný Árnadóttir,is ISL,DF,AC Milan,22-126,2000,0bbcef21,54da9a57,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Flag_of_Iceland.svg/32px-Flag_of_Iceland.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7f/FIGC_Serie_A_femminile_%282020%29.svg/240px-FIGC_Serie_A_femminile_%282020%29.svg.png,1
Guro Reiten,no NOR,MF/FW,Chelsea,28-135,1994,3d728957,a6a4e67d,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Norway.svg/32px-Flag_of_Norway.svg.png,https://ichef.bbci.co.uk/images/ic/1200x675/p0d3fdpm.jpg,3
Halle Houssein,eng ENG,MF,West Ham,17-363,2004,36d61f59,52d65cea,https://upload.wikimedia.org/wikipedia/en/thumb/b/be/Flag_of_England.svg/35px-Flag_of_England.svg.png,https://ichef.bbci.co.uk/images/ic/1200x675/p0d3fdpm.jpg,3
Hanna Bennison,se SWE,MF/FW,Everton,20-053,2002,0ce72873,c4989550,https://upload.wikimedia.org/wikipedia/en/thumb/4/4c/Flag_of_Sweden.svg/35px-Flag_of_Sweden.svg.png,https://ichef.bbci.co.uk/images/ic/1200x675/p0d3fdpm.jpg,3
Hanna Lundkvist,se SWE,DF/MF,Atlético Madrid,20-144,2002,37ed9d8f,b56c2667,https://upload.wikimedia.org/wikipedia/en/thumb/4/4c/Flag_of_Sweden.svg/35px-Flag_of_Sweden.svg.png,https://pbs.twimg.com/profile_images/1675752515416014850/mdDk7mF7_400x400.jpg,2
Hanna Németh,hu HUN,DF,Werder Bremen,24-082,1998,dff5a2cf,7adbf480,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Flag_of_Hungary.svg/35px-Flag_of_Hungary.svg.png,https://upload.wikimedia.org/wikipedia/de/b/b9/Frauen_bundesliga.svg,4
Hannah Blundell,eng ENG,DF,Manchester Utd,28-197,1994,fe9eaddc,0bbd83f6,https://upload.wikimedia.org/wikipedia/en/thumb/b/be/Flag_of_England.svg/35px-Flag_of_England.svg.png,https://ichef.bbci.co.uk/images/ic/1200x675/p0d3fdpm.jpg,3
Hannah Cain,wls WAL,FW,Leicester City WFC,23-300,1999,73b140ea,23bce84e,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Flag_of_Wales.svg/35px-Flag_of_Wales.svg.png,https://ichef.bbci.co.uk/images/ic/1200x675/p0d3fdpm.jpg,3
Hannah Etzold,de GER,GK,Werder Bremen,17-239,2005,636e368e,7adbf480,https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/Flag_of_Germany.svg/35px-Flag_of_Germany.svg.png,https://upload.wikimedia.org/wikipedia/de/b/b9/Frauen_bundesliga.svg,4
Hannah Hampton,eng ENG,GK,Aston Villa,22-022,2000,87f3ffa4,53157aa8,https://upload.wikimedia.org/wikipedia/en/thumb/b/be/Flag_of_England.svg/35px-Flag_of_England.svg.png,https://ichef.bbci.co.uk/images/ic/1200x675/p0d3fdpm.jpg,3
Hasret Kayikci,de GER,MF/FW,Freiburg,31-032,1991,b5fa0c44,b4de690d,https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/Flag_of_Germany.svg/35px-Flag_of_Germany.svg.png,https://upload.wikimedia.org/wikipedia/de/b/b9/Frauen_bundesliga.svg,4
Hawa Cissoko,fr FRA,DF,West Ham,25-242,1997,41d9c706,52d65cea,https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/35px-Flag_of_France.svg.png,https://ichef.bbci.co.uk/images/ic/1200x675/p0d3fdpm.jpg,3
Hawa Sangare,fr FRA,FW/MF,ASD Calcio Pomigliano,20-141,2002,751384ab,9f18ced7,https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/35px-Flag_of_France.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7f/FIGC_Serie_A_femminile_%282020%29.svg/240px-FIGC_Serie_A_femminile_%282020%29.svg.png,1
Hayley Ladd,wls WAL,MF,Manchester Utd,29-063,1993,1e4d1c4c,0bbd83f6,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Flag_of_Wales.svg/35px-Flag_of_Wales.svg.png,https://ichef.bbci.co.uk/images/ic/1200x675/p0d3fdpm.jpg,3
